div,year,intsq,ton,n_samples
IV,1965,49F1,354.38769384,
IV,1965,49F3,28.070312383,
IV,1965,50F0,120.00058544,
IV,1965,50F1,10.526367144,
IV,1966,33F3,182.96703086,
IV,1966,33F4,68.943798621,
IV,1966,34F1,156.26709084,
IV,1966,34F2,1250.6541674,
IV,1966,34F4,93.139325666,
IV,1966,35F1,5.1744069815,
IV,1966,35F2,1137.3346545,
IV,1966,35F3,162.99381992,
IV,1966,35F4,137.63922571,
IV,1966,35F5,108.66254661,
IV,1966,36F0,31.046441889,
IV,1966,36F1,814.45165888,
IV,1966,36F2,891.18811442,
IV,1966,36F3,915.87003572,
IV,1966,36F4,899.31193338,
IV,1966,36F5,319.77835145,
IV,1966,36F6,175.67111702,
IV,1966,36F7,1074.72433,
IV,1966,36F8,908.16948325,
IV,1966,37F0,72.44169774,
IV,1966,37F1,908.86733827,
IV,1966,37F2,1062.9784262,
IV,1966,37F3,2065.2783065,
IV,1966,37F4,1846.952828,
IV,1966,37F5,911.47178978,
IV,1966,37F6,1705.5707812,
IV,1966,37F7,3038.773372,
IV,1966,37F8,3836.3915762,
IV,1966,38F0,167.1333455,
IV,1966,38F1,522.52886501,
IV,1966,38F2,1010.9066439,
IV,1966,38F3,2366.1331125,
IV,1966,38F4,2219.5303355,
IV,1966,38F5,1159.5624285,
IV,1966,38F6,1286.4167117,
IV,1966,38F7,1798.8347854,
IV,1966,38F8,829.71615948,
IV,1966,39F0,419.1269655,
IV,1966,39F1,797.3416198,
IV,1966,39F2,1283.3909156,
IV,1966,39F3,1695.167636,
IV,1966,39F4,4008.1042718,
IV,1966,39F5,2518.5563581,
IV,1966,39F6,1633.9527998,
IV,1966,39F7,5121.5770254,
IV,1966,39F8,619.81634027,
IV,1966,40F0,277.34821421,
IV,1966,40F1,442.41179691,
IV,1966,40F2,755.15295487,
IV,1966,40F3,1120.7075601,
IV,1966,40F4,1966.5185893,
IV,1966,40F5,3944.3757827,
IV,1966,40F6,1408.1291127,
IV,1966,40F7,1582.5137243,
IV,1966,40F8,102.10829777,
IV,1966,41F0,131.94737803,
IV,1966,41F1,315.63882587,
IV,1966,41F2,498.29539231,
IV,1966,41F3,486.03204777,
IV,1966,41F4,1101.6226223,
IV,1966,41F5,2217.717716,
IV,1966,41F6,2764.7620343,
IV,1966,41F7,581.75029787,
IV,1966,41F8,24.837153511,
IV,1966,41G0,1506.1325041,
IV,1966,41G1,3340.4434427,
IV,1966,41G2,770.74991112,
IV,1966,42F0,134.53458152,
IV,1966,42F1,93.139325666,
IV,1966,42F2,194.0402618,
IV,1966,42F3,75.546341929,
IV,1966,42F4,743.04484254,
IV,1966,42F5,426.85407992,
IV,1966,42F6,1252.690814,
IV,1966,42F7,797.02684337,
IV,1966,42F8,203.87163507,
IV,1966,42G0,712.11844689,
IV,1966,42G1,2193.7232024,
IV,1966,42G2,315.86218777,
IV,1966,43F1,10.762766521,
IV,1966,43F2,73.476579137,
IV,1966,43F3,251.99362,
IV,1966,43F6,157.30197224,
IV,1966,43F7,1010.085638,
IV,1966,43F8,3160.1714894,
IV,1966,43F9,371.09331509,
IV,1966,43G0,3959.4046753,
IV,1966,43G1,3301.7235524,
IV,1966,43G2,33.633645379,
IV,1966,44F0,163.36637722,
IV,1966,44F1,151.61012456,
IV,1966,44F5,56.918476796,
IV,1966,44F8,434.1715538,
IV,1966,44F9,3530.6772629,
IV,1966,44G0,9223.7274747,
IV,1966,44G1,4640.8980051,
IV,1966,45F0,863.65854447,
IV,1966,45F1,186.27865133,
IV,1966,45F4,19.66274653,
IV,1966,45F9,102.45325823,
IV,1966,45G0,365.7959913,
IV,1966,45G1,290.11175143,
IV,1966,46F0,393.94485152,
IV,1966,46F1,177.99960016,
IV,1966,47F0,414.46999921,
IV,1966,47F1,235.43551766,
IV,1966,48F0,354.96431893,
IV,1966,49F0,985.55204973,
IV,1966,49F1,522.61510513,
IV,1966,49F3,41.395255852,
IV,1966,50F0,176.96471877,
IV,1966,50F1,15.523220944,
IV,1967,33F3,124.96767794,
IV,1967,33F4,47.089065071,
IV,1967,34F1,106.7314444,
IV,1967,34F2,854.20497056,
IV,1967,34F4,63.614768184,
IV,1967,35F1,3.534153788,
IV,1967,35F2,776.8070026,
IV,1967,35F3,111.32584432,
IV,1967,35F4,94.00849076,
IV,1967,35F5,74.217229548,
IV,1967,36F0,21.204922728,
IV,1967,36F1,556.27580623,
IV,1967,36F2,608.6873069,
IV,1967,36F3,625.54522047,
IV,1967,36F4,614.23592835,
IV,1967,36F5,218.4107041,
IV,1967,36F6,119.9845211,
IV,1967,36F7,734.04374176,
IV,1967,36F8,620.28569281,
IV,1967,37F0,49.478153032,
IV,1967,37F1,620.76233235,
IV,1967,37F2,726.02121267,
IV,1967,37F3,1410.5985819,
IV,1967,37F4,1261.4808531,
IV,1967,37F5,622.54118975,
IV,1967,37F6,1164.9159911,
IV,1967,37F7,2075.5020743,
IV,1967,37F8,2620.280521,
IV,1967,38F0,114.15316735,
IV,1967,38F1,356.89063002,
IV,1967,38F2,690.45584505,
IV,1967,38F3,1616.0843807,
IV,1967,38F4,1515.9537258,
IV,1967,38F5,791.98871751,
IV,1967,38F6,878.63102202,
IV,1967,38F7,1228.6159155,
IV,1967,38F8,566.7015599,
IV,1967,39F0,286.26645683,
IV,1967,39F1,544.5895377,
IV,1967,39F2,876.56438352,
IV,1967,39F3,1157.8105749,
IV,1967,39F4,2737.5614144,
IV,1967,39F5,1720.1904537,
IV,1967,39F6,1116.0004417,
IV,1967,39F7,3498.0705827,
IV,1967,39F8,423.33861149,
IV,1967,40F0,189.43064304,
IV,1967,40F1,302.17014887,
IV,1967,40F2,515.77440382,
IV,1967,40F3,765.45058843,
IV,1967,40F4,1343.1450495,
IV,1967,40F5,2694.0344398,
IV,1967,40F6,961.76138742,
IV,1967,40F7,1080.8672169,
IV,1967,40F8,69.74063475,
IV,1967,41F0,90.120921594,
IV,1967,41F1,215.58338107,
IV,1967,41F2,340.33900978,
IV,1967,41F3,331.96306531,
IV,1967,41F4,752.41545121,
IV,1967,41F5,1514.7156949,
IV,1967,41F6,1888.3505398,
IV,1967,41F7,397.33925574,
IV,1967,41F8,16.963938182,
IV,1967,41G0,1028.6983443,
IV,1967,41G1,2281.5447043,
IV,1967,41G2,526.42722687,
IV,1967,42F0,91.887998488,
IV,1967,42F1,63.614768184,
IV,1967,42F2,132.53076705,
IV,1967,42F3,51.598645305,
IV,1967,42F4,507.50448395,
IV,1967,42F5,291.54412648,
IV,1967,42F6,855.59601349,
IV,1967,42F7,544.37454335,
IV,1967,42F8,139.24565925,
IV,1967,42G0,486.38155359,
IV,1967,42G1,1498.3272853,
IV,1967,42G2,215.73593871,
IV,1967,43F1,7.351039879,
IV,1967,43F2,50.184983789,
IV,1967,43F3,172.11328947,
IV,1967,43F6,107.43827515,
IV,1967,43F7,689.89509265,
IV,1967,43F8,2158.417782,
IV,1967,43F9,253.45915965,
IV,1967,43G0,2704.2992717,
IV,1967,43G1,2255.0987662,
IV,1967,43G2,22.971999622,
IV,1967,44F0,111.58030339,
IV,1967,44F1,103.55070599,
IV,1967,44F5,38.875691668,
IV,1967,44F8,296.54200897,
IV,1967,44F9,2411.4756469,
IV,1967,44G0,6299.866151,
IV,1967,44G1,3169.7636702,
IV,1967,45F0,589.8844307,
IV,1967,45F1,127.22953637,
IV,1967,45F4,13.429784394,
IV,1967,45F9,69.976245002,
IV,1967,45G0,249.84105288,
IV,1967,45G1,198.14822238,
IV,1967,46F0,269.06690839,
IV,1967,46F1,121.57489031,
IV,1967,47F0,283.08571842,
IV,1967,47F1,160.80399735,
IV,1967,48F0,242.44294986,
IV,1967,49F0,673.13849149,
IV,1967,49F1,356.94953259,
IV,1967,49F3,28.273230304,
IV,1967,50F0,120.86805955,
IV,1967,50F1,10.602461364,
IV,1968,33F3,122.87491779,
IV,1968,33F4,46.300492211,
IV,1968,34F1,104.94407571,
IV,1968,34F2,839.90010263,
IV,1968,34F4,62.549449099,
IV,1968,35F1,3.4749693944,
IV,1968,35F2,763.79827289,
IV,1968,35F3,109.46153592,
IV,1968,35F4,92.434185891,
IV,1968,35F5,72.974357283,
IV,1968,36F0,20.849816366,
IV,1968,36F1,546.96018268,
IV,1968,36F2,598.4939788,
IV,1968,36F3,615.06958281,
IV,1968,36F4,603.94968075,
IV,1968,36F5,214.75310857,
IV,1968,36F6,117.97521094,
IV,1968,36F7,721.75114322,
IV,1968,36F8,609.89813336,
IV,1968,37F0,48.649571522,
IV,1968,37F1,610.3667909,
IV,1968,37F2,713.86296269,
IV,1968,37F3,1386.9761176,
IV,1968,37F4,1240.3555756,
IV,1968,37F5,612.11585882,
IV,1968,37F6,1145.4078286,
IV,1968,37F7,2040.7448626,
IV,1968,37F8,2576.4002252,
IV,1968,38F0,112.24151144,
IV,1968,38F1,350.91399268,
IV,1968,38F2,678.89318735,
IV,1968,38F3,1589.0207667,
IV,1968,38F4,1490.566941,
IV,1968,38F5,778.72574856,
IV,1968,38F6,863.91710539,
IV,1968,38F7,1208.0410079,
IV,1968,38F8,557.21134239,
IV,1968,39F0,281.47252095,
IV,1968,39F1,535.46961722,
IV,1968,39F2,861.88507566,
IV,1968,39F3,1138.4214026,
IV,1968,39F4,2691.7170845,
IV,1968,39F5,1691.3834366,
IV,1968,39F6,1097.3114391,
IV,1968,39F7,3439.4904533,
IV,1968,39F8,416.24920891,
IV,1968,40F0,186.25835954,
IV,1968,40F1,297.10988322,
IV,1968,40F2,507.13703342,
IV,1968,40F3,752.6320379,
IV,1968,40F4,1320.6521899,
IV,1968,40F5,2648.9190305,
IV,1968,40F6,945.65533548,
IV,1968,40F7,1062.7665697,
IV,1968,40F8,68.572729383,
IV,1968,41F0,88.611719557,
IV,1968,41F1,211.97313306,
IV,1968,41F2,334.63955268,
IV,1968,41F3,326.40387522,
IV,1968,41F4,739.81519245,
IV,1968,41F5,1489.3496426,
IV,1968,41F6,1856.7274446,
IV,1968,41F7,390.68524906,
IV,1968,41F8,16.679853093,
IV,1968,41G0,1011.4713385,
IV,1968,41G1,2243.3370179,
IV,1968,41G2,517.61145992,
IV,1968,42F0,90.349204255,
IV,1968,42F1,62.549449099,
IV,1968,42F2,130.31135229,
IV,1968,42F3,50.734553158,
IV,1968,42F4,499.00560504,
IV,1968,42F5,286.66180858,
IV,1968,42F6,841.26785058,
IV,1968,42F7,535.25822324,
IV,1968,42F8,136.91379414,
IV,1968,42G0,478.23640796,
IV,1968,42G1,1473.23568,
IV,1968,42G2,212.1231359,
IV,1968,43F1,7.2279363404,
IV,1968,43F2,49.344565401,
IV,1968,43F3,169.23100951,
IV,1968,43F6,105.63906959,
IV,1968,43F7,678.34182554,
IV,1968,43F8,2122.2720296,
IV,1968,43F9,249.21462827,
IV,1968,43G0,2659.0119633,
IV,1968,43G1,2217.3339543,
IV,1968,43G2,22.587301064,
